DATE,PricePerkWh
11/1/78,0.046
12/1/78,0.046
1/1/79,0.046
2/1/79,0.047
3/1/79,0.047
4/1/79,0.048
5/1/79,0.049
6/1/79,0.052
7/1/79,0.053
8/1/79,0.053
9/1/79,0.053
10/1/79,0.053
11/1/79,0.051
12/1/79,0.052
1/1/80,0.053
2/1/80,0.055
3/1/80,0.056
4/1/80,0.056
5/1/80,0.058
6/1/80,0.063
7/1/80,0.064
8/1/80,0.064
9/1/80,0.065
10/1/80,0.063
11/1/80,0.061
12/1/80,0.062
1/1/81,0.063
2/1/81,0.064
3/1/81,0.065
4/1/81,0.066
5/1/81,0.067
6/1/81,0.071
7/1/81,0.073
8/1/81,0.075
9/1/81,0.074
10/1/81,0.072
11/1/81,0.071
12/1/81,0.071
1/1/82,0.073
2/1/82,0.073
3/1/82,0.075
4/1/82,0.075
5/1/82,0.075
6/1/82,0.079
7/1/82,0.079
8/1/82,0.079
9/1/82,0.079
10/1/82,0.077
11/1/82,0.074
12/1/82,0.075
1/1/83,0.075
2/1/83,0.075
3/1/83,0.076
4/1/83,0.075
5/1/83,0.077
6/1/83,0.081
7/1/83,0.082
8/1/83,0.082
9/1/83,0.082
10/1/83,0.08
11/1/83,0.077
12/1/83,0.077
1/1/84,0.078
2/1/84,0.079
3/1/84,0.079
4/1/84,0.08
5/1/84,0.081
6/1/84,0.086
7/1/84,0.087
8/1/84,0.089
9/1/84,0.084
10/1/84,0.081
11/1/84,0.079
12/1/84,0.078
1/1/85,0.079
2/1/85,0.079
3/1/85,0.079
4/1/85,0.08
5/1/85,0.08
6/1/85,0.085
7/1/85,0.085
8/1/85,0.085
9/1/85,0.085
10/1/85,0.082
11/1/85,0.08
12/1/85,0.08
1/1/86,0.081
2/1/86,0.075
3/1/86,0.075
4/1/86,0.074
5/1/86,0.074
6/1/86,0.08
7/1/86,0.08
8/1/86,0.08
9/1/86,0.08
10/1/86,0.074
11/1/86,0.073
12/1/86,0.073
1/1/87,0.075
2/1/87,0.076
3/1/87,0.076
4/1/87,0.076
5/1/87,0.076
6/1/87,0.084
7/1/87,0.084
8/1/87,0.085
9/1/87,0.084
10/1/87,0.078
11/1/87,0.077
12/1/87,0.077
1/1/88,0.078
2/1/88,0.078
3/1/88,0.078
4/1/88,0.077
5/1/88,0.077
6/1/88,0.084
7/1/88,0.084
8/1/88,0.084
9/1/88,0.084
10/1/88,0.08
11/1/88,0.078
12/1/88,0.078
1/1/89,0.079
2/1/89,0.079
3/1/89,0.079
4/1/89,0.079
5/1/89,0.08
6/1/89,0.086
7/1/89,0.086
8/1/89,0.086
9/1/89,0.086
10/1/89,0.081
11/1/89,0.08
12/1/89,0.081
1/1/90,0.081
2/1/90,0.081
3/1/90,0.081
4/1/90,0.082
5/1/90,0.082
6/1/90,0.088
7/1/90,0.087
8/1/90,0.087
9/1/90,0.088
10/1/90,0.083
11/1/90,0.082
12/1/90,0.082
1/1/91,0.084
2/1/91,0.084
3/1/91,0.085
4/1/91,0.084
5/1/91,0.085
6/1/91,0.09
7/1/91,0.091
8/1/91,0.09
9/1/91,0.091
10/1/91,0.087
11/1/91,0.084
12/1/91,0.085
1/1/92,0.085
2/1/92,0.084
3/1/92,0.086
4/1/92,0.086
5/1/92,0.087
6/1/92,0.092
7/1/92,0.092
8/1/92,0.091
9/1/92,0.092
10/1/92,0.088
11/1/92,0.086
12/1/92,0.088
1/1/93,0.089
2/1/93,0.087
3/1/93,0.088
4/1/93,0.088
5/1/93,0.09
6/1/93,0.094
7/1/93,0.095
8/1/93,0.097
9/1/93,0.097
10/1/93,0.093
11/1/93,0.091
12/1/93,0.09
1/1/94,0.09
2/1/94,0.09
3/1/94,0.089
4/1/94,0.088
5/1/94,0.09
6/1/94,0.095
7/1/94,0.095
8/1/94,0.096
9/1/94,0.096
10/1/94,0.093
11/1/94,0.091
12/1/94,0.091
1/1/95,0.091
2/1/95,0.091
3/1/95,0.091
4/1/95,0.09
5/1/95,0.092
6/1/95,0.098
7/1/95,0.098
8/1/95,0.098
9/1/95,0.097
10/1/95,0.094
11/1/95,0.092
12/1/95,0.091
1/1/96,0.091
2/1/96,0.091
3/1/96,0.092
4/1/96,0.092
5/1/96,0.092
6/1/96,0.096
7/1/96,0.099
8/1/96,0.099
9/1/96,0.099
10/1/96,0.095
11/1/96,0.092
12/1/96,0.092
1/1/97,0.092
2/1/97,0.092
3/1/97,0.093
4/1/97,0.092
5/1/97,0.093
6/1/97,0.099
7/1/97,0.099
8/1/97,0.098
9/1/97,0.099
10/1/97,0.093
11/1/97,0.092
12/1/97,0.09
1/1/98,0.086
2/1/98,0.085
3/1/98,0.085
4/1/98,0.085
5/1/98,0.086
6/1/98,0.091
7/1/98,0.091
8/1/98,0.09
9/1/98,0.089
10/1/98,0.086
11/1/98,0.084
12/1/98,0.084
1/1/99,0.084
2/1/99,0.084
3/1/99,0.084
4/1/99,0.084
5/1/99,0.085
6/1/99,0.089
7/1/99,0.09
8/1/99,0.089
9/1/99,0.09
10/1/99,0.087
11/1/99,0.085
12/1/99,0.085
1/1/00,0.084
2/1/00,0.085
3/1/00,0.085
4/1/00,0.085
5/1/00,0.085
6/1/00,0.09
7/1/00,0.091
8/1/00,0.091
9/1/00,0.091
10/1/00,0.088
11/1/00,0.086
12/1/00,0.086
1/1/01,0.088
2/1/01,0.088
3/1/01,0.089
4/1/01,0.089
5/1/01,0.09
6/1/01,0.097
7/1/01,0.099
8/1/01,0.098
9/1/01,0.097
10/1/01,0.093
11/1/01,0.09
12/1/01,0.09
1/1/02,0.089
2/1/02,0.089
3/1/02,0.089
4/1/02,0.088
5/1/02,0.089
6/1/02,0.095
7/1/02,0.095
8/1/02,0.095
9/1/02,0.095
10/1/02,0.091
11/1/02,0.089
12/1/02,0.089
1/1/03,0.089
2/1/03,0.089
3/1/03,0.089
4/1/03,0.091
5/1/03,0.092
6/1/03,0.097
7/1/03,0.098
8/1/03,0.098
9/1/03,0.098
10/1/03,0.093
11/1/03,0.09
12/1/03,0.09
1/1/04,0.091
2/1/04,0.091
3/1/04,0.091
4/1/04,0.091
5/1/04,0.093
6/1/04,0.099
7/1/04,0.099
8/1/04,0.1
9/1/04,0.099
10/1/04,0.094
11/1/04,0.092
12/1/04,0.092
1/1/05,0.094
2/1/05,0.094
3/1/05,0.094
4/1/05,0.095
5/1/05,0.097
6/1/05,0.104
7/1/05,0.105
8/1/05,0.105
9/1/05,0.106
10/1/05,0.102
11/1/05,0.102
12/1/05,0.102
1/1/06,0.108
2/1/06,0.108
